Data_de_firma,AgreementId,Region,Country,DaysInc,1000/dies_entre_acords,Year,Month,no.d'acords_de_pau_signats
2019-07-08,2232,Europe and Eurasia,Afghanistan,887.9872045,1.126142353,2019,7,20
2016-09-22,1739,Europe and Eurasia,Afghanistan,1019.0,0.981354269,2016,9,20
2014-09-21,1923,Europe and Eurasia,Afghanistan,732.0,1.366120219,2014,9,20
2012-07-08,864,Europe and Eurasia,Afghanistan,805.0,1.242236025,2012,7,20
2011-12-05,848,Europe and Eurasia,Afghanistan,216.0,4.62962963,2011,12,20
2011-11-02,849,Europe and Eurasia,Afghanistan,33.0,30.3030303,2011,11,20
2010-07-22,709,Europe and Eurasia,Afghanistan,468.0,2.136752137,2010,7,20
2010-06-06,708,Europe and Eurasia,Afghanistan,46.0,21.73913043,2010,6,20
2010-01-28,707,Europe and Eurasia,Afghanistan,129.0,7.751937984,2010,1,20
2009-03-31,706,Europe and Eurasia,Afghanistan,303.0,3.300330033,2009,3,20
2008-06-12,705,Europe and Eurasia,Afghanistan,292.0,3.424657534,2008,6,20
2007-07-03,1069,Europe and Eurasia,Afghanistan,345.0,2.898550725,2007,7,20
2006-02-01,1061,Europe and Eurasia,Afghanistan,517.0,1.934235977,2006,2,20
2004-04-01,1054,Europe and Eurasia,Afghanistan,671.0,1.490312966,2004,4,20
2002-12-24,909,Europe and Eurasia,Afghanistan,464.0,2.155172414,2002,12,20
2002-01-22,908,Europe and Eurasia,Afghanistan,336.0,2.976190476,2002,1,20
2001-12-05,272,Europe and Eurasia,Afghanistan,48.0,20.83333333,2001,12,20
1999-07-19,553,Europe and Eurasia,Afghanistan,870.0,1.149425287,1999,7,20
1993-03-07,409,Europe and Eurasia,Afghanistan,2325.0,0.430107527,1993,3,20
1992-04-24,482,Europe and Eurasia,Afghanistan,317.0,3.154574132,1992,4,20
2007-08-12,1070,Cross-regional,Afghanistan/Pakistan,5235.987205,0.190985952,2007,8,2
2020-02-29,2271,Cross-regional,Afghanistan/United States of America,651.9872045,1.533772432,2020,2,2
2005-08-14,1595,Middle East and North Africa,Algeria,5963.987205,0.167673063,2005,8,6
1999-07-20,1738,Middle East and North Africa,Algeria,2217.0,0.451059991,1999,7,6
1999-07-13,1737,Middle East and North Africa,Algeria,7.0,142.8571429,1999,7,6
1996-09-17,1255,Middle East and North Africa,Algeria,1029.0,0.971817298,1996,9,6
1995-01-13,1044,Middle East and North Africa,Algeria,613.0,1.63132137,1995,1,6
1994-01-26,484,Middle East and North Africa,Algeria,352.0,2.840909091,1994,1,6
2002-04-04,978,Africa (excl MENA),Angola,7191.987205,0.139043629,2002,4,12
2002-03-13,305,Africa (excl MENA),Angola,22.0,45.45454545,2002,3,12
1999-02-18,299,Africa (excl MENA),Angola,1119.0,0.893655049,1999,2,12
1998-01-09,1,Africa (excl MENA),Angola,405.0,2.469135802,1998,1,12
1994-11-15,439,Africa (excl MENA),Angola,1151.0,0.868809731,1994,11,12
1993-05-31,1318,Africa (excl MENA),Angola,533.0,1.876172608,1993,5,12
1991-05-31,207,Africa (excl MENA),Angola,731.0,1.367989056,1991,5,12
2006-12-15,668,Africa (excl MENA),Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),5475.987205,0.182615474,2006,12,12
2004-11-20,349,Africa (excl MENA),Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),755.0,1.324503311,2004,11,12
2013-02-24,789,Africa (excl MENA),Angola/Burundi/Central African Republic/Democratic Republic of Congo/Republic of Congo/Rwanda/South Africa/South Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),3212.987205,0.311236845,2013,2,12
2006-08-01,1336,Africa (excl MENA),Angola/Cabinda ,5611.987205,0.17819,2006,8,12
2006-11-30,1062,Africa (excl MENA),Angola/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),5490.987205,0.182116615,2006,11,12
1995-09-27,423,Cross-regional,Argentina/United Kingdom,9572.987205,0.104460601,1995,9,2
1990-02-15,431,Cross-regional,Argentina/United Kingdom,2050.0,0.487804878,1990,2,2
2020-11-10,2324,Europe and Eurasia,Armenia/Azerbaijan/(Nagorno-Karabakh),396.9872045,2.518972875,2020,11,22
2020-10-25,2321,Europe and Eurasia,Armenia/Azerbaijan/(Nagorno-Karabakh),16.0,62.5,2020,10,22
2020-10-10,2322,Europe and Eurasia,Armenia/Azerbaijan/(Nagorno-Karabakh),15.0,66.66666667,2020,10,22
2017-10-16,1926,Europe and Eurasia,Armenia/Azerbaijan/(Nagorno-Karabakh),1090.0,0.917431193,2017,10,22
2011-03-05,1687,Europe and Eurasia,Armenia/Azerbaijan/(Nagorno-Karabakh),2417.0,0.413736036,2011,3,22
2010-12-01,1686,Europe and Eurasia,Armenia/Azerbaijan/(Nagorno-Karabakh),94.0,10.63829787,2010,12,22
1995-02-04,1684,Europe and Eurasia,Armenia/Azerbaijan/(Nagorno-Karabakh),5779.0,0.173040318,1995,2,22
1994-07-27,1733,Europe and Eurasia,Armenia/Azerbaijan/Nagorno-Karabakh,9999.987205,0.100000128,1994,7,22
1994-05-11,990,Europe and Eurasia,Armenia/Azerbaijan/Nagorno-Karabakh,77.0,12.98701299,1994,5,22
1994-04-28,1732,Europe and Eurasia,Armenia/Azerbaijan/Nagorno-Karabakh,13.0,76.92307692,1994,4,22
1993-09-13,1731,Europe and Eurasia,Armenia/Azerbaijan/Nagorno-Karabakh,227.0,4.405286344,1993,9,22
1993-08-30,1729,Europe and Eurasia,Armenia/Azerbaijan/Nagorno-Karabakh,14.0,71.42857143,1993,8,22
1993-08-17,1728,Europe and Eurasia,Armenia/Azerbaijan/Nagorno-Karabakh,13.0,76.92307692,1993,8,22
